,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,actual_left,predicted_left,turnover_probability,risk_score_percent,risk_zone,retention_strategy
4551,0.75,0.55,2,184,2,0,0,0,support,low,0,0,0.05,5.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
631,0.11,0.89,6,260,5,0,1,0,sales,low,1,1,0.95,95.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
1172,0.09,0.8,6,294,4,0,1,0,hr,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
8720,0.6,0.67,3,249,2,0,0,0,sales,medium,0,0,0.175,17.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2517,0.62,0.49,4,218,4,0,0,0,sales,medium,0,0,0.055,5.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11004,0.51,0.8,4,198,6,0,0,0,marketing,medium,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7776,0.65,0.74,4,237,3,1,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11892,0.24,0.88,5,199,5,1,0,0,sales,medium,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10093,0.55,0.54,3,190,3,0,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10618,0.98,0.77,3,191,2,0,0,0,sales,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
193,0.09,0.82,6,249,4,0,1,0,technical,medium,1,1,0.985,98.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
5249,0.66,0.6,3,262,2,1,0,0,IT,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3654,0.24,0.7,5,172,4,0,0,0,sales,high,0,0,0.205,20.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
237,0.43,0.45,2,135,3,0,1,0,marketing,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
11047,0.15,0.91,5,230,3,0,0,0,support,medium,0,0,0.085,8.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10205,0.23,0.51,5,139,6,0,0,0,IT,low,0,0,0.215,21.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
3297,0.63,0.64,4,212,4,0,0,0,sales,medium,0,0,0.035,3.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1025,0.09,0.9,6,287,4,0,1,0,technical,low,1,1,0.995,99.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
406,0.09,0.94,6,257,4,0,1,0,sales,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
10273,0.91,0.69,4,259,3,0,0,0,support,high,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4885,0.5,0.4,3,180,4,0,0,0,sales,medium,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
173,0.1,0.88,6,284,4,0,1,0,sales,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
8848,0.17,0.88,2,206,4,0,0,0,support,medium,0,0,0.12,12.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11588,0.99,0.94,5,151,3,0,0,0,product_mng,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4935,0.91,0.53,3,273,6,0,0,0,management,low,0,0,0.12,12.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3451,0.63,0.59,3,155,3,1,0,0,sales,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3345,0.93,0.89,4,209,2,0,0,0,RandD,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7898,0.8,0.81,3,199,4,1,0,0,support,medium,0,0,0.045,4.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5883,0.85,0.48,4,214,3,0,0,0,sales,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9590,0.5,0.8,3,234,3,0,0,0,technical,low,0,0,0.15,15.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3222,0.97,0.97,5,171,2,0,0,0,sales,high,0,0,0.065,6.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
477,0.76,0.83,5,227,5,0,1,0,sales,low,1,1,0.835,83.5,Medium-Risk Zone,"Conduct a targeted stay interview, review workload and compensation, provide a development plan, and address management or role concerns."
2861,0.75,0.79,4,145,3,0,0,0,technical,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6964,0.58,0.57,3,144,4,1,0,0,sales,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3812,0.87,0.74,4,265,4,0,0,0,marketing,medium,0,0,0.08,8.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10179,0.87,0.49,4,213,3,0,0,0,technical,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10971,0.77,0.59,4,273,2,0,0,0,IT,high,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5752,0.88,0.53,3,188,3,0,0,0,technical,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1466,0.39,0.56,2,130,3,0,1,0,sales,medium,1,1,0.99,99.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
6389,0.66,0.7,5,254,2,0,0,0,IT,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3762,0.8,0.91,3,246,3,0,0,0,hr,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2185,0.83,0.65,4,162,3,0,0,0,technical,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
227,0.44,0.54,2,149,3,0,1,0,hr,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
7333,0.75,0.76,3,246,3,0,0,0,sales,medium,0,0,0.045,4.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11528,0.6,0.9,4,260,2,0,0,0,sales,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2190,0.78,0.84,3,233,3,1,0,0,IT,low,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11376,0.67,0.67,4,141,2,1,0,0,sales,low,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11273,0.61,0.42,2,103,8,0,0,0,marketing,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8692,0.78,0.68,4,174,3,1,0,0,RandD,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8678,0.89,0.74,5,220,3,0,0,0,IT,medium,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8830,0.86,0.71,5,235,4,0,0,0,IT,medium,0,0,0.05,5.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9411,0.5,0.56,3,263,4,0,0,0,hr,medium,0,0,0.065,6.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3778,0.85,0.9,3,184,3,1,0,0,support,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1261,0.36,0.51,2,143,3,0,1,0,technical,low,1,1,0.995,99.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
11248,0.76,0.57,5,255,4,0,0,0,management,medium,0,0,0.045,4.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1031,0.42,0.56,2,158,3,0,1,0,technical,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
7719,0.73,0.51,3,244,2,0,0,0,sales,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6062,0.64,0.85,3,213,4,0,0,0,technical,medium,0,0,0.17,17.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3230,0.83,0.61,5,257,2,0,0,0,hr,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6114,0.86,0.92,3,260,2,0,0,0,sales,low,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3666,0.64,0.67,3,165,3,0,0,0,sales,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3942,0.95,0.63,3,249,3,0,0,0,management,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10544,0.97,0.7,3,253,3,0,0,0,sales,medium,0,0,0.055,5.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
927,0.83,0.82,4,243,5,0,1,0,sales,medium,1,1,0.89,89.0,Medium-Risk Zone,"Conduct a targeted stay interview, review workload and compensation, provide a development plan, and address management or role concerns."
10473,0.56,0.55,2,270,3,0,0,0,sales,medium,0,0,0.05,5.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3691,0.58,0.8,3,181,4,0,0,0,technical,high,0,0,0.315,31.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
10513,0.86,0.63,4,244,3,0,0,0,product_mng,low,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3902,0.86,0.96,4,196,3,0,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10725,0.67,0.49,3,185,3,0,0,0,support,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5122,0.91,0.99,5,228,4,1,0,0,sales,low,0,0,0.145,14.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4481,0.16,0.65,5,165,3,0,0,0,IT,low,0,0,0.36,36.0,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
10728,0.7,0.95,4,231,3,0,0,0,support,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11251,0.74,0.6,4,274,10,1,0,0,management,medium,0,0,0.06,6.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3670,0.84,0.53,3,237,3,1,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11009,0.32,0.86,4,214,5,0,0,0,sales,medium,0,0,0.12,12.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8175,0.57,0.72,3,206,3,0,0,0,sales,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6485,0.83,0.55,3,257,2,0,0,0,marketing,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2333,0.96,0.62,5,128,5,0,0,0,support,low,0,0,0.075,7.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11295,0.57,0.9,5,145,3,0,0,0,accounting,low,0,0,0.035,3.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1539,0.1,0.78,6,310,4,0,1,0,sales,medium,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
8764,0.97,0.69,4,134,3,0,0,0,RandD,high,0,0,0.055,5.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1737,0.09,0.78,6,260,4,0,1,0,IT,medium,1,1,0.99,99.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
10237,0.64,0.45,3,135,6,0,0,0,sales,low,0,0,0.04,4.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10787,1.0,0.55,4,186,4,1,0,0,technical,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6279,0.81,0.88,4,149,3,0,0,0,accounting,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6662,0.95,0.42,3,189,2,1,0,0,hr,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6194,0.7,0.93,4,241,3,0,0,0,sales,low,0,0,0.035,3.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8948,0.43,0.82,2,221,5,0,0,0,sales,medium,0,0,0.255,25.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
5126,0.61,0.92,3,222,4,0,0,0,sales,medium,0,0,0.115,11.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8563,0.87,0.84,3,172,3,0,0,0,sales,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5954,0.62,0.55,3,108,2,1,0,0,sales,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9224,0.63,0.94,3,237,3,1,0,0,RandD,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6182,1.0,0.67,3,199,4,0,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
346,0.81,1.0,4,253,5,0,1,0,technical,low,1,1,0.955,95.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
3017,0.74,0.86,3,221,2,0,0,0,support,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11190,0.84,0.85,4,207,10,0,0,0,sales,low,0,0,0.065,6.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11173,0.48,0.77,5,250,2,0,0,1,RandD,medium,0,0,0.03,3.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9019,0.52,0.57,5,162,3,0,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4634,0.73,0.98,4,160,3,0,0,0,IT,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4182,0.61,0.64,3,245,2,0,0,0,product_mng,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3740,0.55,0.77,3,256,3,1,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
591,0.1,0.8,6,264,4,0,1,0,technical,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
3773,0.83,0.93,3,220,4,0,0,0,technical,low,0,0,0.115,11.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1176,0.85,0.89,4,221,5,0,1,0,technical,low,1,1,0.905,90.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
7113,0.78,0.68,5,168,3,0,0,0,sales,low,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8875,0.5,0.54,5,173,2,0,0,0,accounting,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1809,0.38,0.5,2,144,3,0,1,0,IT,medium,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
3089,0.44,0.4,3,120,6,0,0,0,technical,low,0,0,0.065,6.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9468,0.18,0.48,4,176,4,1,0,0,sales,low,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1,0.8,0.86,5,262,6,0,1,0,sales,medium,1,1,0.9,90.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
10617,0.16,0.54,5,206,5,0,0,0,sales,medium,0,0,0.185,18.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3354,0.74,0.68,4,194,2,0,0,0,management,high,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9194,0.24,0.74,6,106,5,0,0,0,technical,low,0,0,0.12,12.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9982,0.7,0.47,2,176,5,0,0,0,product_mng,low,0,0,0.12,12.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10271,0.83,0.67,5,132,2,1,0,0,support,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
973,0.36,0.54,2,136,3,0,1,0,IT,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
7037,0.43,0.86,5,125,3,1,0,0,sales,low,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4435,1.0,0.95,3,193,6,0,0,0,sales,low,0,0,0.065,6.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1406,0.9,0.98,5,271,5,0,1,0,technical,low,1,1,0.91,91.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
11145,0.77,0.87,3,275,4,1,0,0,support,medium,0,0,0.14,14.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
568,0.25,0.46,4,214,4,0,1,0,technical,medium,1,0,0.05,5.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4905,0.74,0.53,5,141,2,0,0,0,accounting,low,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10438,0.53,0.89,3,167,2,0,0,0,product_mng,low,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2716,0.68,0.6,2,192,6,0,0,0,support,low,0,0,0.135,13.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10514,0.62,0.69,3,207,4,0,0,0,product_mng,low,0,0,0.24,24.0,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
3865,0.67,0.57,2,234,4,0,0,0,management,low,0,0,0.17,17.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2529,0.79,0.76,3,160,3,0,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11198,0.49,0.65,4,233,7,0,0,0,sales,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10972,0.75,0.78,2,259,3,0,0,0,product_mng,low,0,0,0.095,9.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9241,0.96,0.95,4,265,2,0,0,0,sales,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3835,0.75,0.57,5,162,3,0,0,0,accounting,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7215,0.89,0.73,3,169,3,0,0,0,support,high,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
1357,0.11,0.83,6,262,5,0,1,0,IT,low,1,1,0.99,99.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
1835,0.37,0.51,2,154,3,1,1,0,sales,low,1,1,0.965,96.5,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
9878,0.58,0.63,4,272,3,0,0,0,technical,medium,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
11914,0.83,0.8,3,240,8,0,0,0,sales,low,0,0,0.06,6.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10969,0.81,0.55,3,199,2,1,0,0,IT,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9153,0.52,0.59,3,164,3,0,0,0,technical,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8266,0.6,0.88,3,201,2,0,0,0,hr,low,0,0,0.065,6.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
7455,0.58,0.72,3,113,3,1,0,0,management,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8913,0.76,0.77,3,254,3,0,0,0,product_mng,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3433,0.99,0.87,4,190,2,0,0,0,marketing,low,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10172,0.65,0.54,2,177,3,0,0,0,accounting,low,0,0,0.16,16.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6292,0.84,0.56,5,97,6,0,0,0,technical,low,0,0,0.025,2.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
597,0.37,0.46,2,157,3,0,1,0,IT,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
6781,0.83,0.71,4,196,2,0,0,0,RandD,medium,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6407,0.39,0.43,3,154,3,0,0,0,marketing,low,0,0,0.115,11.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6853,0.73,0.56,3,215,3,0,0,0,product_mng,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9503,0.47,0.57,3,97,4,0,0,0,support,low,0,0,0.13,13.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2738,0.67,0.99,4,247,3,1,0,0,RandD,low,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10673,0.18,0.54,4,145,5,0,0,0,RandD,low,0,0,0.09,9.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
3551,0.16,0.88,6,218,3,0,0,0,support,low,0,0,0.345,34.5,Low-Risk Zone,"Monitor satisfaction and workload, conduct manager check-ins, and clarify career-development opportunities."
6895,0.52,0.62,3,160,2,0,0,0,hr,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
2427,0.75,0.59,4,199,2,0,0,0,RandD,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
9690,0.75,0.92,3,160,3,1,0,0,technical,medium,0,0,0.005,0.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
755,0.77,0.92,5,235,5,0,1,0,IT,low,1,1,1.0,100.0,High-Risk Zone,"Begin immediate retention intervention, conduct a confidential stay interview, review compensation and promotion opportunities, adjust workload where appropriate, and create a personalized retention plan."
6179,0.76,0.99,3,216,3,0,0,0,marketing,low,0,0,0.015,1.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
10286,0.67,0.74,3,226,3,0,0,0,product_mng,low,0,0,0.01,1.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4257,0.92,0.56,5,197,2,1,0,0,product_mng,medium,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6735,0.83,0.74,3,259,3,1,0,0,accounting,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
8407,0.21,0.39,2,118,4,0,0,0,sales,medium,0,0,0.045,4.5,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
5461,0.58,0.84,4,271,2,0,0,0,support,medium,0,0,0.02,2.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
4056,0.83,0.55,5,247,3,0,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
6657,0.88,0.57,4,185,2,0,0,0,sales,low,0,0,0.0,0.0,Safe Zone,"Maintain regular engagement, recognition, development opportunities, and periodic employee feedback."
